Table,Key,en,pt,es
Dialogue,dialogue.maren.friend.lore_gift_hint,"If you treat the land well, it gives back. Take care of your beds' fertility — tired soil gives less. Natural fertilizers help, but what works best is not rushing the process.","Se você tratar bem a terra, ela retribui. Cuide da fertilidade dos seus canteiros — terra cansada rende menos. Fertilizantes naturais ajudam, mas o que funciona melhor é não apressar o processo.","Si tratas bien la tierra, ella te lo devuelve. Cuida la fertilidad de tus huertos — el suelo cansado rinde menos. Los fertilizantes naturales ayudan, pero lo que mejor funciona es no apresurar el proceso."
Dialogue,dialogue.maren.gift_reaction.start,"Oh! This is... you didn't have to. But I'm so glad you did. Rarely does anyone think of me like that.","Oh! Isso é... você não precisava. Mas estou tão feliz que tenha feito. Raramente alguém pensa em mim assim.","¡Oh! Esto es... no tenías que hacerlo. Pero me alegro mucho de que lo hayas hecho. Pocas veces alguien piensa en mí así."
Dialogue,dialogue.maren.gift_reaction.gift_accept,"I'll keep it safe. And may you harvest twice what you sow this season — that's what I can give back right now.","Vou guardar com cuidado. E que você colha o dobro do que plantar nesta estação — é o que posso retribuir agora.","Lo guardaré a salvo. Y que coseches el doble de lo que siembres esta temporada — es lo que puedo devolver ahora."
Dialogue,dialogue.maren.seasonal_spring.start,"Spring! This is the best time to start. Carrots and radishes come up quickly — if you haven't planted yet, hurry before the soil cools down again.","Primavera! Esta é a melhor época para começar. Cenouras e rabanetes crescem rápido — se você ainda não plantou, se apresse antes que a terra esfrie de novo.","¡Primavera! Este es el mejor momento para empezar. Las zanahorias y rábanos crecen rápido — si aún no has plantado, apúrate antes de que la tierra se enfríe de nuevo."
Dialogue,dialogue.maren.seasonal_spring.start.choice0,"Which seeds do you recommend right now?","Quais sementes você recomenda agora?","¿Qué semillas recomiendas ahora?"
Dialogue,dialogue.maren.seasonal_spring.start.choice1,"Thanks for the tip.","Obrigado pela dica.","Gracias por el consejo."
Dialogue,dialogue.maren.seasonal_spring.spring_tip,"Carrot and cabbage are my bet. They grow fast, sell well, and refresh the soil for summer. Avoid pumpkin for now — it's finicky and only blooms in fall.","Cenoura e repolho são minha aposta. Crescem rápido, vendem bem e renovam a terra para o verão. Evite abóbora por agora — é exigente e só floresce no outono.","Zanahoria y repollo son mi apuesta. Crecen rápido, se venden bien y renuevan la tierra para el verano. Evita la calabaza por ahora — es exigente y solo florece en otoño."
Dialogue,dialogue.choice.give_gift,"Give a gift","Dar um presente","Dar un regalo"
Dialogue,dialogue.choice.give_gift_already_today,"Give a gift (already gifted today)","Dar um presente (já presenteou hoje)","Dar un regalo (ya regalado hoy)"
Dialogue,dialogue.choice.view_relationship,"View relationship","Ver relacionamento","Ver relación"
Dialogue,dialogue.choice.browse_seeds,"Browse seeds","Ver sementes","Ver semillas"
